"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SYN1",101.557661642974,0.454427044237823,0.436197222375119,1.04179261335834,0.297507839534416,0.362235664703156
"JARID2",1364.8138980543,-1.08465572508082,0.124038291887534,-8.7445232321022,2.23959298638518e-18,1.39323943391981e-17
"CDKL5",910.593534279364,-4.97420277767331,0.307110847714622,-16.1967667853124,5.31489942835001e-59,2.20064626657499e-57
"CAMK1G",42.9415991737816,-2.19884678800179,0.505187403902868,-4.35253684279221,1.34571248349357e-05,3.071275420978e-05
"NADK",2158.08850496597,1.21078089950073,0.191810194356585,6.31239076505928,2.74757391224773e-10,9.69867054276895e-10
"TFAP2B",1.57287890516756,0.358643691400731,2.29686470431967,0.156144892089741,0.875918813535169,0.910110822329883
"TFAP2D",0,NA,NA,NA,NA,NA
"DLEC1",175.835527536469,-2.84165848064783,0.339797019346975,-8.36281167536123,6.12409294470112e-17,3.45776549061333e-16
"CYTH3",1248.263197973,-0.034750408350654,0.221664972847781,-0.156769957401061,0.875426150564404,0.909698397478074
"ADAM22",573.547852216768,-3.79197180274711,0.286109642548927,-13.2535617078989,4.30287321769733e-40,8.84066005430678e-39
"SYPL1",2758.32253248732,1.0202723743094,0.226694190198346,4.50065514875664,6.7744336368414e-06,1.59856110340416e-05
"CYB561",1923.47607682462,1.2469887906724,0.204993763405174,6.08305721090501,1.17912249069643e-09,3.93351289023795e-09
"SPAG9",5351.11219481827,-0.699999102075763,0.154750920518659,-4.52339216936263,6.08563301348885e-06,1.44229274749165e-05
"CELSR3",1099.06595725122,-3.35635212238152,0.360050645626611,-9.32188891521168,1.1428722775167e-20,8.23049929299159e-20
"AASS",835.979637419425,-1.97695816214952,0.346589214697353,-5.70403832062642,1.17001755191903e-08,3.58590285022111e-08
"PLEKHG6",2022.88079037929,1.71548606213373,0.28205059564494,6.08219265841677,1.18549994685739e-09,3.95201306613309e-09
"SS18L2",219.695398537518,1.01583367100216,0.227669434933629,4.46187987991581,8.12437658795395e-06,1.89825150054174e-05
"MPND",701.592196801318,3.76917058754943,0.24365026487436,15.4695936386239,5.56572731587455e-54,1.96610869215977e-52
"MGST1",2732.69666291482,2.07900009605223,0.286332855306956,7.26078079242249,3.84862220101397e-13,1.67298867635569e-12
"CRY1",717.892293132759,-0.123703139213508,0.190715271971193,-0.648627338203905,0.516579280643414,0.587774006383769
"PGLYRP1",44.0423749763337,-3.75173664003669,0.495194905905491,-7.57628278339501,3.55596285129911e-14,1.65680495192301e-13
"NFIX",5720.93241017819,0.0533212647997758,0.234927502163416,0.226969019415554,0.82044783244667,0.863234847791008
"ST3GAL1",1898.1918261161,-1.46307260299057,0.285773400784404,-5.11969483155066,3.06030461932655e-07,8.22762615508574e-07
"MMP25",262.697737927911,-0.168718982494612,0.386200303092469,-0.436869109484399,0.662206275587618,0.724580014251982
"IL32",3533.40790389984,2.36088384086892,0.346028636661569,6.82279901353359,8.92835315913627e-12,3.52918784919686e-11
"PKD1",3769.30132920344,0.437736536885617,0.31784259706364,1.37721167939605,0.168446811925964,0.217481770424793
"MAPK8IP2",67.5375648321582,2.15091505970073,0.460788698842564,4.66789889835303,3.04295563088994e-06,7.40763055784083e-06
"MED24",1975.77633956898,1.06162897952437,0.202132261075203,5.25215012129805,1.5033385156468e-07,4.18560628330902e-07
"RHOBTB2",566.513141428296,0.380390009574239,0.239279954626675,1.58972785734486,0.111896161555963,0.150119056217075
"HEATR5B",1536.43298620198,-0.337278740083737,0.117109879773095,-2.88001952300889,0.00397650546416048,0.00673500457591748
"SEC62",3654.34126274016,0.353681371673299,0.162561380315894,2.17567894038557,0.029579275994069,0.0439423231663629
"RPS20",11038.1566828894,1.42293516029798,0.193193414285857,7.36533988779011,1.76696086784649e-13,7.87918613172748e-13
"CSDE1",16813.7017500922,0.568853449315179,0.155835987064956,3.65033430357822,0.000261899216456527,0.000516595185132984
"UBE3C",4936.39055802016,-0.512264321205962,0.135829249997932,-3.7713844493271,0.000162344330439178,0.00032812442837356
"REV3L",3022.8651211742,-1.8719416844088,0.239496206282664,-7.81616424520502,5.44573090250877e-15,2.67985799591349e-14
"TENM1",224.757459204834,-2.04191098015996,0.514083996497338,-3.97194037175311,7.12895666184136e-05,0.000150305992188035
"PAX7",0.449420813647719,-0.546605560454826,3.00958051539439,-0.181621843196708,0.855879505558319,0.893883057819193
"MASP2",239.613259727988,-2.72642955266101,0.306126828469008,-8.90620912350722,5.28072718565496e-19,3.41826362954266e-18
"IYD",1716.17772391629,-0.519908508264205,0.336264159541482,-1.54613119927242,0.122072885255231,0.162635484351606
"FAM76A",461.040496040501,-0.247976725522882,0.161641503124318,-1.53411543897957,0.125001255762742,0.166107296971749
